player_id,player_name,season,cap_hit,cap_pct,contract_type,sign_status,sign_age,position,draft_year,draft_round
8476858,Phillip Di Giuseppe,2018,750000.0,0.9,STD,RFA,24,LW,2012.0,2.0
8478115,Pierre Engvall,2018,925000.0,1.2,ELC,,21,LW,2014.0,7.0
8480160,Radim Simek,2018,675000.0,0.8,STD,RFA,25,D,,
8479335,Rasmus Asplund,2018,845000.0,1.1,ELC,,20,C,2016.0,2.0
8476423,Reid Boucher,2018,725000.0,0.9,STD,RFA,24,RW,2011.0,4.0
8473614,Richard Bachman,2018,675000.0,0.8,STD,UFA,30,G,2006.0,4.0
8475772,Riley Sheahan,2018,2100000.0,2.6,STD,UFA,26,C,2010.0,1.0
8479388,Riley Stillman,2018,773333.0,1.0,ELC,,19,D,2016.0,4.0
8477642,Rinat Valiev,2018,650000.0,0.8,STD,RFA,23,D,2014.0,3.0
8479525,Ross Colton,2018,767500.0,1.0,ELC,,21,C,2016.0,4.0
8479324,Ryan Lindgren,2018,925000.0,1.2,ELC,,20,D,2016.0,2.0
8476465,Ryan Murphy,2018,650000.0,0.8,STD,RFA,25,D,2011.0,1.0
8471817,Ryan Reaves,2018,2775000.0,3.5,STD,UFA,31,RW,2005.0,5.0
8477357,Saku Maenalanen,2018,925000.0,1.2,ELC,,23,LW,2013.0,5.0
8478043,Sam Lafferty,2018,767500.0,1.0,ELC,,23,C,2014.0,4.0
8477502,Samuel Morin,2018,700000.0,0.9,STD,RFA,22,D,2013.0,1.0
8476429,Scott Mayfield,2018,1450000.0,1.8,STD,RFA,25,D,2011.0,2.0
8475274,Seth Helgeson,2018,675000.0,0.8,STD,UFA,27,D,2009.0,4.0
8476870,Stefan Matteau,2018,650000.0,0.8,STD,RFA,24,C,2012.0,1.0
8475730,Stephen Johns,2018,2350000.0,3.0,STD,RFA,26,D,2010.0,2.0
8479973,Stuart Skinner,2018,784166.0,1.0,ELC,,19,G,2017.0,3.0
8474113,TJ Brennan,2018,675000.0,0.8,STD,UFA,28,D,2007.0,2.0
8479661,Tanner Jeannot,2018,713333.0,0.9,ELC,,20,LW,,
8477427,Tobias Lindberg,2018,650000.0,0.8,STD,RFA,22,C,2013.0,4.0
8476617,Tomas Hyka,2018,650000.0,0.8,STD,RFA,25,RW,2012.0,6.0
8479365,Trent Frederic,2018,925000.0,1.2,ELC,,20,C,2016.0,1.0
8476953,Trevor Carrick,2018,700000.0,0.9,STD,RFA,23,D,2012.0,4.0
8476427,Ty Rattie,2018,800000.0,1.0,STD,RFA,25,RW,2011.0,2.0
8477479,Tyler Bertuzzi,2018,1400000.0,1.8,STD,RFA,23,LW,2013.0,2.0
8477715,Tyler Gaudet,2018,650000.0,0.8,STD,RFA,25,C,,
8477343,Tyler Lewington,2018,675000.0,0.8,STD,RFA,23,D,2013.0,7.0
8480045,Ukko Pekka Luukkonen,2018,778333.0,1.0,ELC,,19,G,2017.0,2.0
8480001,Urho Vaakanainen,2018,894167.0,1.1,ELC,,19,D,2017.0,1.0
8477458,Valentin Zykov,2018,675000.0,0.8,STD,RFA,23,LW,2013.0,2.0
8478109,Victor Olofsson,2018,767500.0,1.0,ELC,,22,LW,2014.0,7.0
8476994,Vinnie Hinostroza,2018,1500000.0,1.9,STD,RFA,24,RW,2012.0,6.0
8479375,William Bitten,2018,805000.0,1.0,ELC,,19,RW,2016.0,3.0
8478840,William Borgen,2018,864166.0,1.1,ELC,,21,D,2015.0,4.0
8474134,Yannick Weber,2018,675000.0,0.8,STD,UFA,29,D,2007.0,3.0
8465009,Zdeno Chara,2018,5000000.0,6.3,STD,UFA,41,D,1996.0,3.0
8477180,Aaron Dell,2019,1900000.0,2.4,STD,UFA,28,G,,
8480871,Adam Boqvist,2019,894167.0,1.1,ELC,,17,D,2018.0,1.0
8476431,Adam Clendening,2019,700000.0,0.9,STD,UFA,26,D,2011.0,2.0
8471490,Adam Cracknell,2019,650000.0,0.8,STD,UFA,32,RW,2004.0,9.0
8477454,Adam Erne,2019,800000.0,1.0,STD,RFA,23,LW,2013.0,2.0
8479323,Adam Fox,2019,925000.0,1.1,ELC,,21,D,2016.0,3.0
8474641,Adam Henrique,2019,5825000.0,7.1,STD,UFA,28,C,2008.0,3.0
8478903,Adam Huska,2019,925000.0,1.1,ELC,,21,G,2015.0,7.0
8476392,Adam Lowry,2019,2916666.0,3.7,STD,RFA,25,C,2011.0,3.0
8480008,Adam Ruzicka,2019,801666.0,1.0,ELC,,19,C,2017.0,4.0
8479530,Adam Werner,2019,842500.0,1.0,ELC,,22,G,2016.0,5.0
8476330,Adam Wilcox,2019,650000.0,0.8,STD,,26,G,2011.0,6.0
8480851,Akil Thomas,2019,795000.0,1.0,ELC,,19,C,2018.0,2.0
8476409,Alan Quine,2019,735000.0,0.9,STD,RFA,26,C,2011.0,3.0
8480037,Aleksi Heponiemi,2019,925000.0,1.1,ELC,,20,C,2017.0,2.0
8479718,Alex Barre-Boulet,2019,759258.0,1.0,ELC,,20,C,,
8475968,Alex Belzile,2019,700000.0,0.9,STD,,27,RW,,
8473415,Alex Biega,2019,825000.0,1.0,STD,UFA,29,D,2006.0,5.0
8475163,Alex Chiasson,2019,650000.0,0.8,STD,UFA,28,RW,2009.0,2.0
8479312,Alex Lyon,2019,750000.0,0.9,STD,RFA,25,G,,
8477968,Alex Nedeljkovic,2019,737500.0,0.9,STD,RFA,23,G,2014.0,2.0
8475755,Alex Petrovic,2019,1950000.0,2.5,STD,RFA,26,D,2010.0,2.0
8471774,Alex Stalock,2019,785000.0,1.0,STD,UFA,31,G,2005.0,4.0
8477949,Alex Tuch,2019,4750000.0,5.8,STD,RFA,22,RW,2014.0,1.0
8480823,Alexander Alexeyev,2019,863334.0,1.1,ELC,,18,D,2018.0,1.0
8480053,Alexander Chmelevski,2019,778333.0,1.0,ELC,,18,C,2017.0,6.0
