Player,Cap Hit,Term,Total,Date,Level,Cap %,POS,Sign Age,Sign Status,Sign Expiry,Structure,GM,Agent,Draft Year,Draft Round
Jonny Brodzinski,"$787,500",2yr,$1.58M,21-Feb-24,STD,0.90%,C,30,UFA,UFA,1-Way,Chris Drury,Pat Brisson,2013,5
Michael Rasmussen,"$3,200,000",4yr,$12.80M,20-Feb-24,STD,3.60%,C,24,RFA,UFA,1-Way,Steve Yzerman,Dave Cowan,2017,1
Justin Brazeau,"$775,000",2yr,$1.55M,18-Feb-24,STD,0.90%,RW,26,,UFA,2-Way,Don Sweeney,John Walters,,
Michael McCarron,"$900,000",2yr,$1.80M,16-Feb-24,STD,1%,RW,28,UFA,UFA,1-Way,Barry Trotz,Wade Arnott,2013,1
Isaac Poulter,"$812,500",2yr,$1.63M,15-Feb-24,ELC,1%,G,22,,UFA,2-Way,Tom Fitzgerald,Gerry Johannson,,
Mason Shaw,"$775,000",1yr,$775k,15-Feb-24,STD,0.90%,C,25,UFA,UFA,2-Way,Bill Guerin,Kevin Epp,2017,4
Brandon Scanlin,"$775,000",2yr,$1.55M,15-Feb-24,STD,0.90%,D,24,UFA,UFA,2-Way,Chris Drury,Richard Evans,,
Martin Pospisil,"$1,000,000",2yr,$2.00M,7-Feb-24,STD,1.10%,C,24,RFA,RFA,1-Way,Craig Conroy,Daniel Milstein,2018,4
Jesse Puljujarvi,"$800,000",2yr,$1.60M,4-Feb-24,STD,1%,RW,25,UFA,UFA,1-Way,Kyle Dubas,Markus Lehto,2016,1
Brandon Gignac,"$775,000",2yr,$1.55M,4-Feb-24,STD,0.90%,C,26,UFA,UFA,2-Way,Kent Hughes,Allain Roy,2016,3
Zach Parise,"$825,000",1yr,$825k,26-Jan-24,STD,1%,LW,39,UFA,UFA,1-Way,Chris MacFarland,Wade Arnott,2003,1
Kevin Gravel,"$775,000",2yr,$1.55M,26-Jan-24,STD,0.90%,D,31,UFA,UFA,2-Way,Barry Trotz,Dean Grillo,2010,5
Ryan Poehling,"$1,900,000",2yr,$3.80M,26-Jan-24,STD,2.20%,C,25,RFA,UFA,1-Way,Daniel Briere,Dean Grillo,2017,1
Owen Tippett,"$6,200,000",8yr,$49.60M,26-Jan-24,STD,7%,RW,24,RFA,UFA,1-Way,Daniel Briere,Murray Koontz,2017,1
Petr Mrazek,"$4,250,000",2yr,$8.50M,24-Jan-24,STD,4.80%,G,31,UFA,UFA,1-Way,Kyle Davidson,Gerry Johannson,2010,5
Cole Smith,"$1,000,000",2yr,$2.00M,24-Jan-24,STD,1.10%,LW,28,UFA,UFA,1-Way,Barry Trotz,Dean Grillo,,
Corey Perry,"$775,000",1yr,$775k,22-Jan-24,STD,0.90%,RW,38,UFA,UFA,1-Way,Ken Holland,Patrick Morris,2003,1
Aliaksei Protas,"$3,375,000",5yr,$16.88M,19-Jan-24,STD,3.80%,C,23,RFA,UFA,1-Way,Brian MacLellan,Daniel Milstein,2019,3
Shane Pinto,"$775,000",1yr,$775k,19-Jan-24,STD,0.90%,C,23,RFA,RFA,1-Way,Steve Staios,Lewis Gross,2019,2
