goalie_id,goalie_name,total_shots,total_ga,total_xGA,total_sv_pct,total_GSAx_adj,seasons_played,GOALIE_GAR,GOALIE_WAR
8475831,Philipp.Grubauer,8590,765,599.24654867,0.9109429569266589,9.974298087043039,9,48.33,8.06
8479193,Casey.Desmith,3864,337,278.54891011,0.9127846790890269,23.16657618803042,5,40.42,6.74
8477967,Thatcher.Demko,5070,451,361.51936298,0.9110453648915188,17.518093123169947,6,40.16,6.69
8480382,Alexandar.Georgiev,5710,499,393.38053293,0.9126094570928196,13.849895668254076,6,39.35,6.56
8473461,Steve.Mason,5131,431,358.82628695,0.9160007795751316,16.294311119309548,4,39.2,6.53
8479394,Carter.Hart,6145,566,447.06029419000004,0.9078925956061838,9.87189066084851,5,37.31,6.22
8473503,James.Reimer,9515,851,659.16812501,0.9105622700998424,-6.38737503115849,9,36.1,6.02
8480280,Jeremy.Swayman,2484,203,175.33598344,0.9182769726247987,24.498845832872675,3,35.59,5.93
8471418,Anton.Khudobin,6131,537,420.54411102,0.9124123307780134,6.232480887105255,9,33.61,5.6
8477465,Tristan.Jarry,6063,525,404.25472146000004,0.9134092033646709,6.359837967564941,7,33.43,5.57
8479979,Jake.Oettinger,4568,381,297.11282386,0.9165936952714536,12.323255314118935,4,32.72,5.45
8470147,Curtis.McElhinney,4365,386,315.25683456,0.9115693012600229,13.095890501660472,7,32.59,5.43
8474596,Jake.Allen,11111,1009,775.53877887,0.9091890918909189,-18.213854496829097,9,31.4,5.23
8470880,Brian.Elliott,8947,817,636.8269242,0.9086844752430983,-10.01237842853927,9,29.94,4.99
8476412,Jordan.Binnington,7230,671,514.68266892,0.9071922544951591,-3.7421530453402614,6,28.54,4.76
8479406,Filip.Gustavsson,2088,168,142.10404199,0.9195402298850575,17.99397243980869,3,27.32,4.55
8475789,Jack.Campbell,5020,445,343.70565008,0.9113545816733067,4.365736259953847,7,26.78,4.46
8480925,Pavel.Francouz,2328,190,157.90007301999998,0.9183848797250859,15.853766474747452,4,26.25,4.38
8476341,Anton.Forsberg,3809,350,280.31430237,0.9081123654502494,8.389091370093192,8,25.4,4.23
8471306,Thomas.Greiss,8691,771,587.75269275,0.9112875388332758,-15.276567596196717,9,23.53,3.92
8471715,Ondrej.Pavelec,3149,282,233.39718897,0.9104477611940298,6.724641717293027,4,20.79,3.46
8475852,Petr.Mrazek,9574,883,676.12982873,0.9077710465844997,-22.704826111410156,9,20.04,3.34
8468011,Ryan.Miller,6870,599,462.22068805,0.9128093158660844,-11.3535394136179,7,19.32,3.22
8473541,Jonathan.Bernier,8308,755,578.35810918,0.9091237361579201,-18.243204204887483,8,18.85,3.14
8467950,Craig.Anderson,11219,993,747.59430859,0.91148943756128,-31.608935717403526,9,18.49,3.08
8477968,Alex.Nedeljkovic,3320,302,235.23186438,0.9090361445783133,3.5817385938473336,6,18.41,3.07
8478499,Adin.Hill,3036,264,204.25949415,0.9130434782608696,4.185202034912909,6,17.74,2.96
8479973,Stuart.Skinner,2164,194,155.88858393,0.910351201478743,7.080086013995007,3,16.74,2.79
8477202,Andrew.Hammond,2017,169,139.12120668,0.9162121963311849,6.0563468507114155,5,15.06,2.51
8476904,Chris.Driedger,1677,145,115.28197567,0.913536076326774,5.889454554396339,6,13.38,2.23
8475195,Anders.Nilsson,4121,367,281.48869473,0.9109439456442611,-6.444977121226506,5,11.96,1.99
8480313,Logan.Thompson,1685,144,112.91513504,0.914540059347181,4.060028127454364,3,11.58,1.93
8478492,Ilya.Samsonov,3828,354,268.10397351,0.9075235109717869,-5.5877629963851305,4,11.5,1.92
8478406,Mackenzie.Blackwood,4254,399,301.33692127,0.9062059238363893,-7.88138720207856,5,11.11,1.85
8481519,Spencer.Knight,1654,154,122.83907681000001,0.9068923821039904,3.530667185325841,3,10.92,1.82
8476316,Laurent.Brossoit,3229,306,235.96326574,0.9052338185196656,-3.75995878988979,9,10.66,1.78
8475809,Scott.Wedgewood,2978,278,213.31329412,0.9066487575554063,-2.843502645034887,5,10.45,1.74
8473607,Michal.Neuvirth,3461,308,238.86162711999998,0.9110083790811904,-7.535785629339259,5,7.92,1.32
8476932,Anthony.Stolarz,2192,197,149.09471315000002,0.9101277372262774,-2.335423947227542,5,7.45,1.24
8479361,Joseph.Woll,397,31,27.411372540000002,0.9219143576826196,4.691428072172377,2,6.46,1.08
8479292,Charlie.Lindgren,1703,159,122.55676477,0.9066353493834409,-1.6305848580961317,7,5.97,1.0
8476914,Joonas.Korpisalo,6503,618,463.72090086000003,0.9049669383361525,-23.589880002216105,8,5.45,0.91
8477180,Aaron.Dell,3317,315,238.95737822,0.9050346698824239,-9.38354612145997,7,5.43,0.9
8478971,Connor.Ingram,1126,107,83.64843399,0.9049733570159858,0.13515113140316704,2,5.16,0.86
8476844,Niklas.Svedberg,423,34,29.93440891,0.9196217494089834,3.227530889131975,1,5.12,0.85
8477234,Troy.Grosenick,135,9,9.2711874,0.9333333333333333,2.980689426934788,2,3.58,0.6
8477084,Mackenzie.Skapski,45,1,3.52189667,0.9777777777777777,3.297760710333189,1,3.5,0.58
8475156,Mikko.Koskinen,4721,447,329.64463112,0.9053166701969921,-17.669044741349268,4,3.41,0.57
8480867,Kevin.Mandolese,120,10,10.30338659,0.9166666666666666,2.8070379301045096,1,3.34,0.56
8475663,Eddie.Lack,2856,265,206.01404369,0.9072128851540616,-9.758276917068914,4,2.99,0.5
8482221,Devon.Levi,222,21,18.23766899,0.9054054054054054,1.869423969193341,1,2.86,0.48
8471403,Karri.Ramo,2056,182,140.50230842000002,0.9114785992217899,-6.498328767835268,2,2.68,0.45
8482982,Jet.Greaves,49,3,4.45551126,0.9387755102040817,2.4778355572093407,1,2.7,0.45
8471227,Devan.Dubnyk,11012,932,678.33090224,0.9153650563022158,-46.5115893831398,7,2.66,0.44
8480238,Jiri.Patera,70,5,5.6133731000000004,0.9285714285714286,2.073836381727631,1,2.39,0.4
8478965,Ken.Appleby,55,3,3.9735807199999997,0.9454545454545454,2.0834812989416416,1,2.33,0.39
8479312,Alex.Lyon,1165,114,86.55610704,0.9021459227467811,-3.0997527284476676,6,2.1,0.35
8473499,Reto.Berra,1000,87,67.27312704,0.913,-2.409857238601744,4,2.06,0.34
8480263,Dylan.Ferguson,85,6,5.81960426,0.9294117647058824,1.5916564579580426,2,1.97,0.33
8479294,Kevin.Boyle,139,10,8.12812441,0.9280575539568345,1.098687085187875,1,1.72,0.29
8474591,Tom.McCollum,25,1,2.18281554,0.96,1.6138511179628827,1,1.73,0.29
8481033,Akira.Schmid,742,68,50.81212627,0.9083557951482479,-1.709611498587643,2,1.6,0.27
8477457,Zach.Fucale,66,5,4.85080044,0.9242424242424242,1.2262753031677023,1,1.52,0.25
8477356,Kristers.Gudlevskis,35,1,1.70832265,0.9714285714285714,1.2969944071420543,2,1.45,0.24
8477831,Pheonix.Copley,1608,157,117.40714478,0.902363184079602,-5.789338879210669,5,1.39,0.23
8475920,Michael.Houser,218,18,13.6128793,0.9174311926605505,0.34798214946950834,2,1.32,0.22
8479313,Zach.Sawchenko,151,15,12.42888118,0.9006622516556292,0.5758009427018629,1,1.25,0.21
8476330,Adam.Wilcox,14,0,0.8739055,1.0,1.1564256473669634,1,1.22,0.2
8481692,Dustin.Wolf,25,1,1.37982345,0.96,0.9014174791884393,1,1.01,0.17
8483530,Jaxson.Stauber,179,17,13.350353909999999,0.9050279329608939,0.08496715898922513,1,0.88,0.15
8481611,Pyotr.Kochetkov,794,78,58.72993896,0.9017632241813602,-2.7076034489451297,2,0.84,0.14
8480373,Josef.Korenar,293,29,22.01126859,0.9010238907849829,-0.5313795790511691,2,0.78,0.13
8480213,Gilles.Senn,38,3,2.72430013,0.9210526315789473,0.4943402598630562,1,0.66,0.11
8476986,Marek.Langhamer,18,1,1.21274139,0.9444444444444444,0.5502276250040864,2,0.63,0.1
8479016,Landon.Bow,19,1,0.95683825,0.9473684210526316,0.3628863854573355,1,0.45,0.08
8479380,Dylan.Wells,13,1,1.11101648,0.9230769230769231,0.38224537517798846,1,0.44,0.07
8479138,Scott.Foster,7,0,0.20411739,1.0,0.3453774636834817,1,0.38,0.06
8477312,Antoine.Bibeau,97,9,7.04555828,0.9072164948453608,-0.17050259238584353,2,0.26,0.04
8477092,Andrey.Makarov,36,3,2.4211514800000002,0.9166666666666666,0.04184271226655145,1,0.2,0.03
8480199,Eetu.Makiniemi,32,3,2.36142755,0.90625,0.029067907361202572,1,0.17,0.03
8477990,Brandon.Halverson,6,1,0.82664843,0.8333333333333334,-0.05227150684272999,1,-0.03,-0.0
8478903,Adam.Huska,26,2,1.26346499,0.9230769230769231,-0.19468127602484486,1,-0.08,-0.01
8479530,Adam.Werner,58,5,3.41865434,0.9137931034482758,-0.40602125126165145,1,-0.15,-0.02
8477480,Eric.Comrie,1348,138,103.83532013,0.8976261127596439,-6.2324693366856625,7,-0.21,-0.03
8474889,Martin.Jones,12876,1210,901.22960962,0.906026716371544,-57.836207549085344,9,-0.34,-0.06
8474690,Kevin.Poulin,26,3,1.9064261999999998,0.8846153846153846,-0.645296798918602,1,-0.53,-0.09
8480981,Joel.Hofer,229,23,16.64527585,0.8995633187772926,-1.5780844895200907,2,-0.56,-0.09
8473614,Richard.Bachman,390,37,27.896182500000002,0.9051282051282051,-2.3188730704686202,4,-0.58,-0.1
8480363,Kaden.Fulcher,11,2,1.1218461,0.8181818181818181,-0.6430734005247005,1,-0.59,-0.1
8480591,Thomas.Hodges,3,1,0.2745308,0.6666666666666667,-0.662947615310559,1,-0.65,-0.11
8482137,Yaroslav.Askarov,35,4,2.4575131,0.8857142857142857,-0.8122552591361849,1,-0.66,-0.11
8477914,Roman.Will,3,1,0.1957069,0.6666666666666667,-0.7538753382666735,1,-0.74,-0.12
8481001,Veini.Vehvilainen,4,1,0.11041587,0.75,-0.8007789618929403,1,-0.78,-0.13
8471301,Jeff.Glass,451,45,33.11107252,0.9002217294900222,-2.7877427326785362,1,-0.77,-0.13
8480022,Michael.Dipietro,24,4,2.61698022,0.8333333333333334,-0.8868813024868154,2,-0.78,-0.13
8482447,Leevi.Merilainen,49,6,4.00376001,0.8775510204081632,-0.9739156927906591,1,-0.76,-0.13
8476861,Oscar.Dansk,159,15,10.24061673,0.9056603773584906,-1.4890289063668398,3,-0.78,-0.13
8471433,Daniel.Taylor,34,4,2.26724138,0.8823529411764706,-1.046638262108803,1,-0.89,-0.15
8481035,Samuel.Ersson,317,32,23.03915121,0.8990536277602523,-2.3470364998905886,1,-0.93,-0.16
8469514,Peter.Budaj,1693,157,118.85937156,0.9072652096869462,-8.583055438789096,4,-1.02,-0.17
