goalie_id,goalie_name,season,shots_faced,goals_against,xGA,sv_pct,GSAx,GSAx_adj,GOALIE_GAR,GOALIE_WAR
8476434,John.Gibson,2021,1041,100,75.32179782,0.9039385206532181,-24.67820218,-1.5666571801377067,3.08,0.51
8476932,Anthony.Stolarz,2021,230,17,13.61450465,0.9260869565217391,-3.3854953499999993,1.7208018161559346,2.75,0.46
8476341,Anton.Forsberg,2021,264,24,19.51643045,0.9090909090909091,-4.483569549999999,1.3775715450659431,2.56,0.43
8476509,Maxime.Lagace,2021,29,0,1.8172836399999999,1.0,1.8172836399999999,2.461121108776183,2.59,0.43
8476999,Linus.Ullmark,2021,591,49,35.81255238,0.9170896785109983,-13.18744762,-0.06648403218192556,2.57,0.43
8467950,Craig.Anderson,2021,141,11,9.61803644,0.9219858156028369,-1.3819635600000009,1.7484186157738546,2.38,0.4
8480947,Kevin.Lankinen,2021,1193,108,78.45184279,0.9094719195305951,-29.54815721,-3.062015822069437,2.26,0.38
8475683,Sergei.Bobrovsky,2021,979,96,71.9752247,0.9019407558733401,-24.0247753,-2.289710405797134,2.08,0.35
8477234,Troy.Grosenick,2021,77,6,6.01270004,0.922077922077922,0.012700040000000357,1.7221995260609,2.07,0.34
8475809,Scott.Wedgewood,2021,458,46,34.49789351,0.8995633187772926,-11.502106490000003,-1.3339147417416637,0.71,0.12
8471306,Thomas.Greiss,2021,867,78,55.56183421,0.9100346020761245,-22.43816579,-3.189645602794805,0.68,0.11
8478916,Joey.Daccord,2021,214,22,16.8208529,0.897196261682243,-5.179147100000002,-0.4280706062723061,0.53,0.09
8480162,Matiss.Kivlenieks,2021,71,7,5.49932061,0.9014084507042254,-1.5006793900000002,0.07561234390031002,0.39,0.06
8474636,Michael.Hutchinson,2021,211,17,11.56764718,0.919431279620853,-5.43235282,-0.7478802023525999,0.19,0.03
8479288,Kasimir.Kaskisuo,2021,3,0,0.08624892999999996,1.0,0.08624892999999996,0.15285280608029475,0.17,0.03
8480313,Logan.Thompson,2021,2,0,0.0444585,1.0,0.0444585,0.08886108405352985,0.1,0.02
8477480,Eric.Comrie,2021,33,3,2.09395853,0.9090909090909091,-0.9060414699999999,-0.1733988331167572,-0.03,-0.0
8480420,Collin.Delia,2021,178,19,14.24538209,0.8932584269662921,-4.75461791,-0.8027879292358424,-0.01,-0.0
8477293,Antti.Raanta,2021,402,38,26.87407412,0.9054726368159204,-11.12592588,-2.201006485240498,-0.41,-0.07
8475156,Mikko.Koskinen,2021,758,76,55.27328036,0.899736147757256,-20.72671964,-3.8981402837121806,-0.51,-0.08
