player_id,season,xGF_O,xGF_D,xGF_net,xGF_O_se,xGF_D_se,GF_O,GF_D,GF_net,GF_O_se,GF_D_se,SOG_O,SOG_D,SOG_net,SOG_O_se,SOG_D_se,TO_O,TO_D,TO_net,TO_O_se,TO_D_se,GA_O,GA_D,GA_net,GA_O_se,GA_D_se,BPR_O,BPR_D,BPR,BPR_O_se,BPR_D_se,BPR_se,player_name,position,prior_O,prior_D
8471339,2015,0.1562,-0.0684,0.2247,0.0667,0.0702,0.7701,0.3974,0.3727,0.022,0.0232,-0.0673,1.7819,-1.8492,0.0323,0.034,0.4828,-0.1245,0.6073,0.0088,0.0093,-0.8536,-1.5378,0.6842,0.0059,0.0062,0.2419,0.4715,0.7134,0.0343,0.0361,0.0497,Ryan.Callahan,F,0.0328,0.012
8466148,2015,0.2201,-0.0013,0.2214,0.0638,0.0676,1.0161,-0.2212,1.2373,0.022,0.0232,0.767,1.178,-0.411,0.0323,0.034,0.5736,-1.1547,1.7283,0.0088,0.0093,-0.892,-1.326,0.434,0.0059,0.0062,0.5013,0.2091,0.7104,0.0329,0.0348,0.0479,Marian.Hossa,F,0.0918,-0.003
8473563,2015,0.0566,0.2587,-0.2021,0.0639,0.0675,0.3733,0.0273,0.346,0.022,0.0232,0.6939,1.406,-0.7121,0.0323,0.034,-1.7558,-0.4549,-1.3009,0.0088,0.0093,-2.1801,-1.7121,-0.468,0.0059,0.0062,0.2188,0.484,0.7028,0.0329,0.0347,0.0479,Nicklas.Backstrom,F,0.0379,0.0157
8475759,2015,-0.0631,0.0297,-0.0929,0.0711,0.0745,0.1967,0.4499,-0.2532,0.022,0.0232,0.9403,0.9289,0.0114,0.0323,0.0341,-0.0155,1.0067,-1.0222,0.0088,0.0093,-3.1433,-0.5588,-2.5845,0.0059,0.0062,0.3296,0.3694,0.6991,0.0364,0.0382,0.0527,Brandon.Gormley,D,-0.0025,-0.0631
8470794,2015,0.053,0.2193,-0.1663,0.0648,0.0693,0.3786,1.6768,-1.2981,0.022,0.0232,-1.2416,1.3683,-2.6099,0.0323,0.034,0.2882,1.3109,-1.0227,0.0088,0.0093,0.7306,-3.6306,4.3612,0.0059,0.0062,-0.2018,0.8861,0.6843,0.0333,0.0356,0.0488,Joe.Pavelski,F,0.0811,0.0404
8468208,2015,0.273,0.1287,0.1444,0.0657,0.0687,-0.1775,0.1207,-0.2982,0.022,0.0232,2.6073,-0.496,3.1033,0.0323,0.034,-1.0321,-1.0651,0.033,0.0088,0.0093,-1.0814,-2.6241,1.5427,0.0059,0.0062,0.6648,0.0144,0.6792,0.0338,0.0353,0.0489,Joel.Ward,F,0.0421,0.0271
8475765,2015,0.2137,-0.1096,0.3233,0.0658,0.0696,1.5273,0.3892,1.1382,0.022,0.0232,0.9597,0.6354,0.3243,0.0323,0.034,-0.1045,-2.7524,2.6479,0.0088,0.0093,-2.0042,-1.7565,-0.2478,0.0059,0.0062,0.621,0.0485,0.6695,0.0338,0.0358,0.0492,Vladimir.Tarasenko,F,0.1179,-0.0536
8475728,2015,-0.0473,0.228,-0.2752,0.0708,0.0735,0.0262,0.8806,-0.8543,0.022,0.0232,0.6579,1.1655,-0.5076,0.0323,0.034,-0.4938,-0.9012,0.4074,0.0088,0.0093,-1.6692,-1.396,-0.2731,0.0059,0.0062,0.1622,0.5043,0.6664,0.0363,0.0377,0.0523,Johan.Larsson,F,-0.0036,0.0032
8474870,2015,0.1283,-0.0172,0.1456,0.0672,0.071,2.1607,-0.2934,2.4541,0.022,0.0232,1.1301,0.729,0.4011,0.0323,0.034,-0.2489,-1.8018,1.5529,0.0088,0.0093,-1.4573,0.3735,-1.8308,0.0059,0.0062,0.6802,-0.0153,0.665,0.0345,0.0365,0.0502,Tyler.Johnson,F,0.0606,-0.0252
8470169,2015,-0.0295,0.0913,-0.1208,0.0698,0.0718,0.5103,1.7095,-1.1992,0.022,0.0232,0.0072,1.1154,-1.1082,0.0323,0.034,1.797,-0.3616,2.1586,0.0088,0.0093,-0.5249,1.3391,-1.864,0.0059,0.0062,0.1922,0.4722,0.6644,0.0358,0.0368,0.0514,Gregory.Campbell,F,-0.0275,-0.0015
8474031,2015,0.1148,0.0801,0.0347,0.0667,0.0705,0.6273,0.707,-0.0797,0.022,0.0232,0.8861,1.0096,-0.1235,0.0323,0.034,-0.2211,-1.3211,1.1,0.0088,0.0093,-1.3827,0.3254,-1.708,0.0059,0.0062,0.3885,0.2759,0.6644,0.0343,0.0362,0.0498,Kevin.Shattenkirk,D,0.0819,-0.0186
8474581,2015,0.031,0.2766,-0.2456,0.0654,0.0679,-0.6015,0.6022,-1.2037,0.022,0.0232,-0.003,1.7595,-1.7625,0.0323,0.034,1.1376,-2.131,3.2685,0.0088,0.0093,-2.1175,-2.4613,0.3437,0.0059,0.0062,0.0776,0.5863,0.6639,0.0336,0.0349,0.0485,Jake.Gardiner,D,0.0505,-0.0392
8471873,2015,0.4307,-0.0277,0.4584,0.0658,0.0695,0.1637,-0.4794,0.6431,0.022,0.0232,1.5467,0.2793,1.2674,0.0323,0.034,-0.4553,0.3497,-0.805,0.0088,0.0093,-0.6895,-2.1664,1.4769,0.0059,0.0062,0.5804,0.0833,0.6638,0.0338,0.0357,0.0492,Anton.Stralman,D,0.0549,-0.0662
