player_id,xGF_O,xGF_D,xGF_net,xGF_O_se,xGF_D_se,GF_O,GF_D,GF_net,GF_O_se,GF_D_se,SOG_O,SOG_D,SOG_net,SOG_O_se,SOG_D_se,TO_O,TO_D,TO_net,TO_O_se,TO_D_se,GA_O,GA_D,GA_net,GA_O_se,GA_D_se,BPR_O,BPR_D,BPR,BPR_O_se,BPR_D_se,BPR_se,player_name,position,prior_O,prior_D
8478911,0.084,-0.0597,0.1436,0.05,0.0519,0.0105,0.5586,-0.5482,0.0219,0.0231,1.0559,0.35,0.7059,0.0322,0.034,-0.6502,0.0621,-0.7123,0.0088,0.0093,-0.8783,0.0901,-0.9684,0.0059,0.0062,0.272,0.1311,0.4031,0.0262,0.0272,0.0378,Matt.Roy,D,0.0436,0.0407
8475218,0.0962,-0.0012,0.0974,0.0372,0.039,0.4183,0.6253,-0.207,0.0216,0.0228,0.2712,0.2555,0.0157,0.0322,0.0339,0.6232,-0.2639,0.8871,0.0088,0.0093,-1.079,-0.2977,-0.7813,0.0059,0.0062,0.2511,0.1455,0.3965,0.0202,0.0212,0.0292,Mattias.Ekholm,D,0.0516,-0.0145
8476432,0.0455,-0.0067,0.0522,0.0445,0.0442,0.2576,-0.0254,0.283,0.0218,0.0229,1.1824,0.1736,1.0088,0.0322,0.034,-0.0216,0.2286,-0.2503,0.0088,0.0093,-1.398,0.6344,-2.0325,0.0059,0.0062,0.3761,0.0194,0.3955,0.0236,0.0236,0.0334,Boone.Jenner,F,0.0641,0.0428
8471702,0.0389,0.1253,-0.0863,0.0438,0.0449,-0.3066,0.7652,-1.0718,0.0218,0.023,0.0165,0.8038,-0.7873,0.0322,0.034,0.5857,-0.4326,1.0183,0.0088,0.0093,-0.5604,-0.6941,0.1336,0.0059,0.0062,0.0346,0.3561,0.3907,0.0233,0.0239,0.0334,Matt.Niskanen,D,0.0481,-0.0269
8477498,0.0918,-0.0299,0.1217,0.0391,0.0399,0.2016,0.0645,0.137,0.0217,0.0228,1.2577,0.3062,0.9516,0.0322,0.0339,0.1657,-0.5973,0.763,0.0088,0.0093,0.1694,-0.1594,0.3288,0.0059,0.0062,0.356,0.0326,0.3886,0.0211,0.0216,0.0301,Darnell.Nurse,D,0.0636,0.0217
8477478,0.1666,-0.0122,0.1788,0.0522,0.0555,0.2793,-0.0539,0.3332,0.0219,0.0231,0.6515,0.3213,0.3302,0.0322,0.034,-0.2706,-0.5492,0.2787,0.0088,0.0093,-2.1474,-0.6329,-1.5145,0.0059,0.0062,0.3382,0.0489,0.3871,0.0272,0.029,0.0398,William.Carrier,F,0.0579,0.0168
8470610,0.2709,0.023,0.248,0.0462,0.0469,-0.3057,0.4635,-0.7692,0.0218,0.023,1.6326,-0.7848,2.4174,0.0322,0.034,-0.035,0.3926,-0.4276,0.0088,0.0093,-1.3587,1.2021,-2.5609,0.0059,0.0062,0.501,-0.1162,0.3849,0.0244,0.0249,0.0348,Zach.Parise,F,0.0987,-0.0001
8475324,0.0238,0.1938,-0.1701,0.045,0.046,-0.0835,0.6216,-0.7051,0.0218,0.023,-0.5657,1.3635,-1.9292,0.0322,0.034,0.2632,-0.5362,0.7994,0.0088,0.0093,-0.5753,-0.2283,-0.347,0.0059,0.0062,-0.0863,0.4671,0.3808,0.0238,0.0244,0.0341,Nick.Jensen,D,0.027,-0.0066
8471669,0.2114,-0.0594,0.2709,0.0434,0.046,-0.1754,0.242,-0.4174,0.0218,0.023,1.2209,-0.4216,1.6425,0.0322,0.034,0.4762,0.1418,0.3345,0.0088,0.0093,-1.7229,-0.2609,-1.462,0.0059,0.0062,0.4455,-0.0672,0.3783,0.0231,0.0244,0.0336,Paul.Stastny,F,0.0516,-0.0096
8476872,0.1242,0.0252,0.099,0.0489,0.0488,0.2262,0.3894,-0.1632,0.0218,0.023,0.7739,0.2837,0.4902,0.0322,0.034,-0.6831,-0.1238,-0.5593,0.0088,0.0093,-0.9669,0.3093,-1.2762,0.0059,0.0062,0.264,0.1136,0.3776,0.0257,0.0258,0.0364,Scott.Laughton,F,0.0275,0.009
8478413,0.0822,0.1295,-0.0473,0.054,0.0547,0.2974,0.465,-0.1676,0.0219,0.0231,0.3838,0.2584,0.1253,0.0323,0.034,0.864,-0.0978,0.9618,0.0088,0.0093,-0.401,1.1852,-1.5862,0.0059,0.0062,0.238,0.1381,0.3761,0.0281,0.0286,0.0401,Jordan.Greenway,F,0.0156,0.0112
8480835,0.0317,0.0481,-0.0164,0.0637,0.0685,0.546,0.1973,0.3487,0.022,0.0232,0.1574,0.6349,-0.4775,0.0323,0.034,-0.5871,-0.1488,-0.4383,0.0088,0.0093,-0.657,-1.5575,0.9005,0.0059,0.0062,0.1234,0.2467,0.3701,0.0328,0.0352,0.0481,Jack.Drury,F,0.0329,0.0531
8477845,0.1019,0.1212,-0.0193,0.0438,0.0453,-0.3122,0.3006,-0.6129,0.0218,0.023,0.1669,0.7455,-0.5786,0.0322,0.034,0.8496,-0.574,1.4236,0.0088,0.0093,-1.141,0.0663,-1.2073,0.0059,0.0062,0.1375,0.2326,0.3701,0.0233,0.0241,0.0335,Trevor.van.Riemsdyk,D,0.03,0.0257
8478483,0.0792,0.1426,-0.0635,0.0424,0.0446,0.6367,0.0695,0.5673,0.0218,0.0229,-0.7669,1.3672,-2.1341,0.0322,0.034,0.2654,-0.3069,0.5723,0.0088,0.0093,0.7297,-1.2746,2.0043,0.0059,0.0062,-0.0469,0.4151,0.3682,0.0226,0.0238,0.0328,Mitchell.Marner,F,0.0818,0.0383
8477505,0.0249,-0.0428,0.0677,0.0442,0.0452,0.3335,-0.1134,0.4468,0.0218,0.023,0.8786,0.252,0.6265,0.0322,0.034,0.8492,-0.1843,1.0335,0.0088,0.0093,-0.6812,-0.6529,-0.0284,0.0059,0.0062,0.334,0.0321,0.3661,0.0234,0.0241,0.0336,Alexander.Wennberg,F,-0.0004,0.0104
8475176,-0.0068,0.1431,-0.1499,0.0444,0.0462,0.2572,0.2243,0.0329,0.0218,0.023,0.8288,-0.1869,1.0156,0.0322,0.034,0.8062,-0.3987,1.2049,0.0088,0.0093,-1.2425,-0.2554,-0.9871,0.0059,0.0062,0.3156,0.0504,0.366,0.0235,0.0245,0.034,Ryan.Ellis,D,0.0624,0.0046
